gene_label,ct_label,as_label,as,ct,gene
A2M,blood vessel endothelial cell,thymus,http://purl.obolibrary.org/obo/UBERON_0002370,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/7
A2M,blood vessel endothelial cell,ascending aorta,http://purl.obolibrary.org/obo/UBERON_0001496,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/7
A2M,blood vessel endothelial cell,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/7
ABC10-43608400O15.1,MGE_252 sst GABAergic cortical interneuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051253,https://purl.org/ccf/ASCTB-TEMP_abc10-43608400o15-1
ABCA1,EMSN_232 medium spiny neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051233,http://identifiers.org/hgnc/29
ABCA13,CA13_183 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051184,http://identifiers.org/hgnc/14638
ABCA13,URL_309 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051310,http://identifiers.org/hgnc/14638
ABCA13,CA13_183 hippocampal CA1-3 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051184,http://identifiers.org/hgnc/14638
ABCA3,pulmonary alveolar type 2 cell,lung,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0002063,http://identifiers.org/hgnc/33
ABCA4,Chrp_79 choroid plexus epithelial cell (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051080,http://identifiers.org/hgnc/34
ABCA8,Fbl_27 fibroblast (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051028,http://identifiers.org/hgnc/38
ABCB11,hepatocyte,liver,http://purl.obolibrary.org/obo/UBERON_0002107,http://purl.obolibrary.org/obo/CL_0000182,http://identifiers.org/hgnc/42
ABCC9,pericyte,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/60
ABCC9,capillary endothelial cell,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,http://purl.obolibrary.org/obo/CL_0002144,http://identifiers.org/hgnc/60
ABCC9,pericyte,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/60
ABCC9,capillary endothelial cell,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0002144,http://identifiers.org/hgnc/60
ABCG2,VendC_15 capillary endothelial cell (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051016,http://identifiers.org/hgnc/74
ABCG2,limbal stem cells,pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,https://purl.org/ccf/ASCTB-TEMP_limbal-stem-cells,https://purl.org/ccf/ASCTB-TEMP_abcg2
ABI3BP,CGE_294 VIP GABAergic cortical interneuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051295,http://identifiers.org/hgnc/17265
ABI3BP,Inh L1-2 VIP SCML4 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015023,http://identifiers.org/hgnc/17265
ABI3BP,Inh L3-5 VIP HS3ST3A1 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015030,http://identifiers.org/hgnc/17265
ABI3BP,Inh L5-6 VIP COL4A3 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015031,http://identifiers.org/hgnc/17265
ABI3BP,Inh L1-2 VIP SCML4 primary motor cortex GABAergic interneuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0015023,http://identifiers.org/hgnc/17265
ABI3BP,Inh L3-5 VIP HS3ST3A1 primary motor cortex GABAergic interneuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0015030,http://identifiers.org/hgnc/17265
ABI3BP,Inh L5-6 VIP COL4A3 primary motor cortex GABAergic interneuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0015031,http://identifiers.org/hgnc/17265
