phenotype,phenotype_label,as,ct
HP:0025461,Abnormal cell morphology,,http://purl.obolibrary.org/obo/CL_0000000
HP:0025354,Abnormal cellular phenotype,,http://purl.obolibrary.org/obo/CL_0000000
HP:0020111,Abnormal regulatory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000000
HP:0005374,Cellular immunodeficiency,,http://purl.obolibrary.org/obo/CL_0000000
HP:0020113,Decreased proportion of regulatory T cells,,http://purl.obolibrary.org/obo/CL_0000000
HP:0003358,Elevated intracellular cystine,,http://purl.obolibrary.org/obo/CL_0000000
HP:0001952,Glucose intolerance,,http://purl.obolibrary.org/obo/CL_0000000
HP:0020112,Increased proportion of regulatory T cells,,http://purl.obolibrary.org/obo/CL_0000000
HP:0032125,Increased unswitched memory B cell proportion,,http://purl.obolibrary.org/obo/CL_0000000
HP:0012863,Abnormal male germ cell morphology,,http://purl.obolibrary.org/obo/CL_0000015
HP:0012864,Abnormal sperm morphology,,http://purl.obolibrary.org/obo/CL_0000019
HP:0000027,Azoospermia,,http://purl.obolibrary.org/obo/CL_0000019
HP:0025034,Abnormal morphology of erythroid progenitor cell,,http://purl.obolibrary.org/obo/CL_0000038
HP:0012131,Abnormal number of erythroid precursors,,http://purl.obolibrary.org/obo/CL_0000038
HP:0012132,Erythroid hyperplasia,,http://purl.obolibrary.org/obo/CL_0000038
HP:0012133,Erythroid hypoplasia,,http://purl.obolibrary.org/obo/CL_0000038
HP:0410157,Increased level of N-acetylneuraminic acid in fibroblasts,,http://purl.obolibrary.org/obo/CL_0000057
HP:0032599,Abnormal renal tubular epithelial morphology,,http://purl.obolibrary.org/obo/CL_0000066
HP:0001901,Polycythemia,,http://purl.obolibrary.org/obo/CL_0000081
HP:0031392,Abnormal CD4+ T cell subset proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0025620,Abnormal CD4+ central memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0025623,Abnormal CD4+ effector memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410379,Abnormal CD4+ memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0031393,Abnormal CD8+ T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410380,Abnormal CD8+ memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0020177,Abnormal CD8-positive TEMRA T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0011839,Abnormal T cell count,,http://purl.obolibrary.org/obo/CL_0000084
HP:0002843,Abnormal T cell morphology,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410384,Abnormal central memory CD8+ T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410383,Abnormal effector memory CD8+ T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0032182,Abnormal memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410373,Abnormal naive CD4-positive T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0031396,Abnormal naive T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
