gene_label,ct_label,as_label,avg_mean_gene_expr,cell_instance_count,dataset_count,as,ct,gene
A2M,endothelial cell of lymphatic vessel,uterus,4.660759490005782,1004,13,http://purl.obolibrary.org/obo/UBERON_0000995,http://purl.obolibrary.org/obo/CL_0002138,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,pericyte,lung,4.397778693703056,1287,44,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000669,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,fibroblast,lung,4.1786353536992875,31510,122,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000057,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,endothelial cell of artery,lung,4.165086697331651,8782,107,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_1000413,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,endothelial cell,uterus,4.120476257231492,1361,20,http://purl.obolibrary.org/obo/UBERON_0000995,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,vein endothelial cell,lung,4.095836679787423,3235,48,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0002543,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,alveolar type 1 fibroblast cell,lung,4.002118923596574,89322,265,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_4028004,http://identifiers.org/hgnc/7
A2M,lung microvascular endothelial cell,lung,3.9698340154277627,1579,54,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_2000016,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,fibroblast,small intestine,3.837735608638721,25028,53,http://purl.obolibrary.org/obo/UBERON_0002108,http://purl.obolibrary.org/obo/CL_0000057,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,endothelial cell of artery,heart,3.608216187625966,52010,101,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_1000413,http://identifiers.org/hgnc/7
A2M,capillary endothelial cell,thymus,3.575426313686276,3697,22,http://purl.obolibrary.org/obo/UBERON_0002370,http://purl.obolibrary.org/obo/CL_0002144,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,capillary endothelial cell,lung,3.5683515819476876,1137,31,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0002144,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,endothelial cell,adipose tissue,3.4085640540739317,2859,6,http://purl.obolibrary.org/obo/UBERON_0001013,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,pulmonary interstitial fibroblast,lung,3.155763321909411,7795,56,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0002241,http://identifiers.org/hgnc/7
A2M,endothelial cell,pancreas,3.0987715288798334,6766,8,http://purl.obolibrary.org/obo/UBERON_0001264,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,pericyte,lung,3.088881462178332,1377,47,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/7
A2M,endothelial cell,pancreas,3.025978684425354,3475,6,http://purl.obolibrary.org/obo/UBERON_0001264,http://purl.obolibrary.org/obo/CL_0000115,http://identifiers.org/hgnc/7
A2M,Arterial Capillary,small intestine,2.9767636321485043,8604,46,http://purl.obolibrary.org/obo/UBERON_0002108,https://purl.org/ccf/ASCTB-TEMP_arterial-capillary,http://identifiers.org/hgnc/7
A2M,capillary endothelial cell,heart,2.8416705019772053,9830,25,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0002144,http://identifiers.org/hgnc/7
A2M,endothelial cell of artery,lung,2.8409920282223644,8534,68,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_1000413,http://identifiers.org/hgnc/7
A2M,endothelial cell of venule,lung,2.7299292043403343,6046,54,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/7
A2M,lung pericyte,lung,2.5399413559887862,1331,37,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0009089,http://identifiers.org/hgnc/7
A2M,pulmonary artery endothelial cell,lung,2.502497886063876,7524,66,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_1001568,http://identifiers.org/hgnc/7
A2M,hepatocyte,liver,2.497957914322211,7357,1,http://purl.obolibrary.org/obo/UBERON_0002107,http://purl.obolibrary.org/obo/CL_0000182,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,alveolar type 1 fibroblast cell,lung,2.4174423217773438,1988,2,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_4028004,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,basophil,lung,2.4119909492485205,5171,33,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000767,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,vein endothelial cell of respiratory system,lung,2.3519727425329067,7035,57,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_4033008,http://identifiers.org/hgnc/7
A2M,endothelial cell of artery,interventricular septum,2.0923540790875754,2279,5,http://purl.obolibrary.org/obo/UBERON_0002094,http://purl.obolibrary.org/obo/CL_1000413,http://identifiers.org/hgnc/7
A2M,endothelial cell,heart,2.0677297291932284,2224,23,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000115,http://identifiers.org/hgnc/7
A2M,endothelial cell of arteriole,kidney,1.9990221603075042,5501,106,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1000412,http://identifiers.org/hgnc/7
A2M,myofibroblast cell,adipose tissue,1.8459465824275745,1185,4,http://purl.obolibrary.org/obo/UBERON_0001013,http://purl.obolibrary.org/obo/CL_0000186,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M,renal interstitial pericyte,kidney,1.7983419533286775,4203,44,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/7
A2M,vasa recta ascending limb cell,kidney,1.554791405149128,2792,19,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1001131,http://identifiers.org/hgnc/7
A2M,mesangial cell,kidney,1.4145837335210099,5299,67,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000650,http://identifiers.org/hgnc/7
A2M,CD1c-positive myeloid dendritic cell,lung,1.274965912103653,1288,8,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0002399,http://identifiers.org/hgnc/7
A4GALT,secretory cell,trachea,1.781782920102342,2228,1,http://purl.obolibrary.org/obo/UBERON_0003126,http://purl.obolibrary.org/obo/CL_0000151,https://purl.org/ccf/ASCTB-TEMP_a4galt
ABCA1,classical monocyte,lung,10.225446489122179,2178,9,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000860,http://identifiers.org/hgnc/29
ABCA1,macrophage,lung,3.748536420804072,1500,2,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000235,https://purl.org/ccf/ASCTB-TEMP_abca1
ABCA1,neutrophil,lung,3.5375927597299563,1182,23,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000775,https://purl.org/ccf/ASCTB-TEMP_abca1
ABCA1,non-classical monocyte,lung,3.300235689687238,7537,36,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000875,https://purl.org/ccf/ASCTB-TEMP_abca1
