gene_symbol,disease_id,onset_name,onset_id
AAAS,OMIM:231550,Childhood onset,HP:0011463
AAAS,OMIM:231550,Juvenile onset,HP:0003621
AAAS,OMIM:231550,Pediatric onset,HP:0410280
AARS1,OMIM:613287,Juvenile onset,HP:0003621
AARS1,OMIM:616339,Pediatric onset,HP:0410280
AARS1,OMIM:616339,Congenital onset,HP:0003577
AARS1,OMIM:616339,Infantile onset,HP:0003593
AARS1,OMIM:619691,Infantile onset,HP:0003593
AARS1,OMIM:619691,Pediatric onset,HP:0410280
AARS2,OMIM:614096,Infantile onset,HP:0003593
AARS2,OMIM:614096,Congenital onset,HP:0003577
AARS2,OMIM:614096,Pediatric onset,HP:0410280
AARS2,OMIM:615889,Childhood onset,HP:0011463
AARS2,OMIM:615889,Juvenile onset,HP:0003621
AASS,OMIM:238700,Infantile onset,HP:0003593
AASS,OMIM:238700,Pediatric onset,HP:0410280
ABAT,OMIM:613163,Neonatal onset,HP:0003623
ABCA12,OMIM:242500,Congenital onset,HP:0003577
ABCA12,OMIM:601277,Congenital onset,HP:0003577
ABCA3,OMIM:610921,Congenital onset,HP:0003577
ABCA4,OMIM:180100,Childhood onset,HP:0011463
ABCA4,OMIM:180100,Juvenile onset,HP:0003621
ABCA4,OMIM:180100,Pediatric onset,HP:0410280
ABCA4,OMIM:604116,Childhood onset,HP:0011463
ABCA4,OMIM:604116,Pediatric onset,HP:0410280
ABCA4,OMIM:604116,Juvenile onset,HP:0003621
ABCB11,OMIM:601847,Infantile onset,HP:0003593
ABCB11,OMIM:601847,Pediatric onset,HP:0410280
ABCB11,OMIM:602347,Infantile onset,HP:0003593
ABCB11,OMIM:602347,Pediatric onset,HP:0410280
ABCB4,OMIM:602347,Infantile onset,HP:0003593
ABCB4,OMIM:602347,Pediatric onset,HP:0410280
ABCB6,OMIM:180100,Childhood onset,HP:0011463
ABCB6,OMIM:180100,Juvenile onset,HP:0003621
ABCB6,OMIM:180100,Pediatric onset,HP:0410280
ABCB6,OMIM:614497,Congenital onset,HP:0003577
ABCB6,OMIM:615402,Childhood onset,HP:0011463
ABCB7,OMIM:301310,Pediatric onset,HP:0410280
ABCB7,OMIM:301310,Childhood onset,HP:0011463
ABCB7,OMIM:301310,Infantile onset,HP:0003593
ABCB7,OMIM:301310,Congenital onset,HP:0003577
ABCC6,OMIM:180100,Childhood onset,HP:0011463
ABCC6,OMIM:180100,Juvenile onset,HP:0003621
ABCC6,OMIM:208000,Congenital onset,HP:0003577
ABCC6,OMIM:208000,Neonatal onset,HP:0003623
ABCC6,OMIM:614473,Infantile onset,HP:0003593
ABCC6,OMIM:614473,Pediatric onset,HP:0410280
ABCC8,OMIM:240800,Neonatal onset,HP:0003623
ABCC9,OMIM:131300,Juvenile onset,HP:0003621
ABCC9,OMIM:619719,Pediatric onset,HP:0410280
ABCC9,OMIM:619719,Congenital onset,HP:0003577
ABCC9,OMIM:619719,Infantile onset,HP:0003593
ABCD3,OMIM:616278,Infantile onset,HP:0003593
ABCD3,OMIM:616278,Pediatric onset,HP:0410280
ABCD4,OMIM:614857,Congenital onset,HP:0003577
ABCD4,OMIM:614857,Neonatal onset,HP:0003623
ABHD12,OMIM:180100,Juvenile onset,HP:0003621
ABHD12,OMIM:180100,Childhood onset,HP:0011463
ABHD12,OMIM:180100,Pediatric onset,HP:0410280
ABHD12,OMIM:612674,Childhood onset,HP:0011463
ABHD12,OMIM:612674,Juvenile onset,HP:0003621
ABHD12,OMIM:612674,Pediatric onset,HP:0410280
ABHD16A,OMIM:619735,Neonatal onset,HP:0003623
ABHD16A,OMIM:619735,Pediatric onset,HP:0410280
ABHD16A,OMIM:619735,Infantile onset,HP:0003593
ABL1,OMIM:121050,Congenital onset,HP:0003577
ABL1,OMIM:208050,Infantile onset,HP:0003593
ABL1,OMIM:208050,Neonatal onset,HP:0003623
ABL1,OMIM:208050,Congenital onset,HP:0003577
ABL1,OMIM:208050,Childhood onset,HP:0011463
