gene_label,ct_label,as_label,as,ct,gene
A2M,blood vessel endothelial cell,thymic artery,http://purl.obolibrary.org/obo/UBERON_0018243,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/7
A2M,blood vessel endothelial cell,thymic vein,http://purl.obolibrary.org/obo/UBERON_0001591,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/7
ABC10-43608400O15.1,MGE_252 sst GABAergic cortical interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051253,https://purl.org/ccf/ASCTB-TEMP_abc10-43608400o15-1
ABCA1,EMSN_232 medium spiny neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051233,http://identifiers.org/hgnc/29
ABCA13,URL_309 neuron (Hsap),gray matter of hindbrain,http://purl.obolibrary.org/obo/UBERON_0019263,http://purl.obolibrary.org/obo/PCL_0051310,http://identifiers.org/hgnc/14638
ABCA13,CA13_183 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051184,http://identifiers.org/hgnc/14638
ABCA3,pulmonary alveolar type 2 cell,pulmonary alveolar parenchyma,http://purl.obolibrary.org/obo/UBERON_0008870,http://purl.obolibrary.org/obo/CL_0002063,http://identifiers.org/hgnc/33
ABCA3,pulmonary alveolar type 2 cell,pulmonary alveolar duct,http://purl.obolibrary.org/obo/UBERON_0002173,http://purl.obolibrary.org/obo/CL_0002063,http://identifiers.org/hgnc/33
ABCA3,pulmonary alveolar type 2 cell,alveolus of lung,http://purl.obolibrary.org/obo/UBERON_0002299,http://purl.obolibrary.org/obo/CL_0002063,http://identifiers.org/hgnc/33
ABCA4,Chrp_79 choroid plexus epithelial cell (Hsap),basal forebrain,http://purl.obolibrary.org/obo/UBERON_0002743,http://purl.obolibrary.org/obo/PCL_0051080,http://identifiers.org/hgnc/34
ABCA8,Fbl_27 fibroblast (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051028,http://identifiers.org/hgnc/38
ABCB11,hepatocyte,hepatic cord,http://purl.obolibrary.org/obo/UBERON_0005452,http://purl.obolibrary.org/obo/CL_0000182,http://identifiers.org/hgnc/42
ABCG2,VendC_15 capillary endothelial cell (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051016,http://identifiers.org/hgnc/74
ABCG2,limbal stem cells,basal lamina of epithelium,http://purl.obolibrary.org/obo/UBERON_0000482,https://purl.org/ccf/ASCTB-TEMP_limbal-stem-cells,https://purl.org/ccf/ASCTB-TEMP_abcg2
ABI3BP,Inh L1-2 VIP SCML4 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015023,http://identifiers.org/hgnc/17265
ABI3BP,Inh L3-5 VIP HS3ST3A1 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015030,http://identifiers.org/hgnc/17265
ABI3BP,Inh L5-6 VIP COL4A3 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015031,http://identifiers.org/hgnc/17265
ABI3BP,CGE_294 VIP GABAergic cortical interneuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051295,http://identifiers.org/hgnc/17265
ABLIM1,mature CD4 single-positive thymocyte,thymus corticomedullary boundary,http://purl.obolibrary.org/obo/UBERON_0003988,http://purl.obolibrary.org/obo/CL_0002436,http://identifiers.org/hgnc/78
ABLIM1,mature CD4 single-positive thymocyte,medulla of thymus,http://purl.obolibrary.org/obo/UBERON_0002124,http://purl.obolibrary.org/obo/CL_0002436,http://identifiers.org/hgnc/78
AC002066.1,MSN_206 medium spiny neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051207,https://purl.org/ccf/ASCTB-TEMP_ac002066-1
AC003099.2,Splat_335 neuron (Hsap),gray matter of hindbrain,http://purl.obolibrary.org/obo/UBERON_0019263,http://purl.obolibrary.org/obo/PCL_0051336,https://purl.org/ccf/ASCTB-TEMP_ac003099-2
AC004538.3,CA13_180 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051181,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_182 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051183,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_179 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051180,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_184 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051185,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_181 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051182,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_183 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051184,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_187 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051188,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004862.6,CA13_163 hippocampal CA1-3 neuron (Hsap),amygdaloid complex,https://purl.org/ccf/ASCTB-TEMP_amygdaloid-complex,http://purl.obolibrary.org/obo/PCL_0051164,https://purl.org/ccf/ASCTB-TEMP_ac004862-6
AC005150.1,DLIT_137 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051138,https://purl.org/ccf/ASCTB-TEMP_ac005150-1
AC005150.1,DLIT_139 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051140,https://purl.org/ccf/ASCTB-TEMP_ac005150-1
AC005150.1,DLIT_143 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051144,https://purl.org/ccf/ASCTB-TEMP_ac005150-1
AC005150.1,DLIT_144 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051145,https://purl.org/ccf/ASCTB-TEMP_ac005150-1
AC007682.1,Epen_73 ependymal cell (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051074,https://purl.org/ccf/ASCTB-TEMP_ac007682-1
AC010091.1,Midi_438 midbrain-derived inhibitory neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051439,https://purl.org/ccf/ASCTB-TEMP_ac010091-1
AC011288.2,ULIT_121 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051122,https://purl.org/ccf/ASCTB-TEMP_ac011288-2
AC011288.2,Misc_404 cerebral cortex neuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051405,https://purl.org/ccf/ASCTB-TEMP_ac011288-2
AC018717.1,Epen_66 ependymal cell (Hsap),gray matter of hindbrain,http://purl.obolibrary.org/obo/UBERON_0019263,http://purl.obolibrary.org/obo/PCL_0051067,https://purl.org/ccf/ASCTB-TEMP_ac018717-1
AC018717.1,Epen_69 ependymal cell (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051070,https://purl.org/ccf/ASCTB-TEMP_ac018717-1
AC018717.1,Epen_73 ependymal cell (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051074,https://purl.org/ccf/ASCTB-TEMP_ac018717-1
AC064875.2,DLCT6b_102 glutamatergic neuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051103,https://purl.org/ccf/ASCTB-TEMP_ac064875-2
AC067959.1,ULIT_131 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051132,https://purl.org/ccf/ASCTB-TEMP_ac067959-1
AC067959.1,Amex_162 amygdala excitatory neuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051163,https://purl.org/ccf/ASCTB-TEMP_ac067959-1
AC067959.1,Splat_344 neuron (Hsap),gray matter of hindbrain,http://purl.obolibrary.org/obo/UBERON_0019263,http://purl.obolibrary.org/obo/PCL_0051345,https://purl.org/ccf/ASCTB-TEMP_ac067959-1
AC079135.1,Splat_349 neuron (Hsap),medulla oblongata,http://purl.obolibrary.org/obo/UBERON_0001896,http://purl.obolibrary.org/obo/PCL_0051350,https://purl.org/ccf/ASCTB-TEMP_ac079135-1
AC084149.2,COP_41 differentiation-committed oligodendrocyte precursor (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051042,https://purl.org/ccf/ASCTB-TEMP_ac084149-2
AC084149.2,Oligo_49 oligodendrocyte (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051050,https://purl.org/ccf/ASCTB-TEMP_ac084149-2
